date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:36	21583/21583	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2004:44:33%20GMT	https://p.w3layouts.com/demos/21-03-2016/cookery/web/index.html	/home/kumartej/websites/food_service_2/p.w3layouts.com/demos/21-03-2016/cookery/web/index.html	(from )
10:14:38	1002/1002	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Oct%202022%2004:44:35%20GMT	https://p.w3layouts.com/robots.txt		(from )
10:14:39	141622/141622	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:34%20GMT	https://p.w3layouts.com/demos/21-03-2016/cookery/web/css/bootstrap.css	/home/kumartej/websites/food_service_2/p.w3layouts.com/demos/21-03-2016/cookery/web/css/bootstrap.css	(from https://p.w3layouts.com/demos/21-03-2016/cookery/web/index.html)
10:14:40	95957/95957	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:34%20GMT	https://p.w3layouts.com/demos/21-03-2016/cookery/web/js/jquery.min.js	/home/kumartej/websites/food_service_2/p.w3layouts.com/demos/21-03-2016/cookery/web/js/jquery.min.js	(from https://p.w3layouts.com/demos/21-03-2016/cookery/web/index.html)
10:14:42	32691/32691	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:34%20GMT	https://p.w3layouts.com/demos/21-03-2016/cookery/web/css/style.css	/home/kumartej/websites/food_service_2/p.w3layouts.com/demos/21-03-2016/cookery/web/css/style.css	(from https://p.w3layouts.com/demos/21-03-2016/cookery/web/index.html)
10:14:42	1782/1782	---MC-	200	added ('OK')	text/css	date:Sun,%2016%20Oct%202022%2004:44:41%20GMT	http://fonts.googleapis.com/css?family=Raleway:400,200,100,300,500,600,700,800,900	/home/kumartej/websites/food_service_2/fonts.googleapis.com/cssda86.css	(from https://p.w3layouts.com/demos/21-03-2016/cookery/web/index.html)
10:14:42	671/671	---MC-	200	added ('OK')	text/css	date:Sun,%2016%20Oct%202022%2004:44:42%20GMT	http://fonts.googleapis.com/css?family=Open+Sans+Condensed:300,300italic,700	/home/kumartej/websites/food_service_2/fonts.googleapis.com/css912f.css	(from https://p.w3layouts.com/demos/21-03-2016/cookery/web/index.html)
10:14:44	1330/1330	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:34%20GMT	https://p.w3layouts.com/demos/21-03-2016/cookery/web/js/move-top.js	/home/kumartej/websites/food_service_2/p.w3layouts.com/demos/21-03-2016/cookery/web/js/move-top.js	(from https://p.w3layouts.com/demos/21-03-2016/cookery/web/index.html)
10:14:45	4759/4759	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:34%20GMT	https://p.w3layouts.com/demos/21-03-2016/cookery/web/js/easing.js	/home/kumartej/websites/food_service_2/p.w3layouts.com/demos/21-03-2016/cookery/web/js/easing.js	(from https://p.w3layouts.com/demos/21-03-2016/cookery/web/index.html)
10:14:46	2611/2611	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:34%20GMT	https://p.w3layouts.com/demos/21-03-2016/cookery/web/css/styles.css	/home/kumartej/websites/food_service_2/p.w3layouts.com/demos/21-03-2016/cookery/web/css/styles.css	(from https://p.w3layouts.com/demos/21-03-2016/cookery/web/index.html)
10:14:47	1968/1968	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:34%20GMT	https://p.w3layouts.com/demos/21-03-2016/cookery/web/css/component.css	/home/kumartej/websites/food_service_2/p.w3layouts.com/demos/21-03-2016/cookery/web/css/component.css	(from https://p.w3layouts.com/demos/21-03-2016/cookery/web/index.html)
10:14:48	69727/69727	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:34%20GMT	https://p.w3layouts.com/demos/21-03-2016/cookery/web/css/animate.min.css	/home/kumartej/websites/food_service_2/p.w3layouts.com/demos/21-03-2016/cookery/web/css/animate.min.css	(from https://p.w3layouts.com/demos/21-03-2016/cookery/web/index.html)
